model,unique_id,cutoff,n,scale,mae,wape,mase,pinball,coverage,mean_actual
AutoARIMA,FOODS_1_017_WI_3,2016-02-28,28,0.3360995850622407,0.7175522562796753,1.05744543030689,2.134939429177799,0.23612874734218933,0.8214285714285714,0.6785714285714286
AutoARIMA,FOODS_1_017_WI_3,2016-03-27,28,0.3581890812250333,0.6776467578534525,0.9986373273629827,1.891868829546256,0.20060579910053528,0.8571428571428571,0.6785714285714286
AutoARIMA,FOODS_1_017_WI_3,2016-04-24,28,0.38125802310654683,0.8260342669120065,0.8566281286494883,2.166601663045297,0.2739157894547417,0.7857142857142857,0.9642857142857143
AutoARIMA,FOODS_1_017_WI_3,2016-05-22,28,0.40892193308550184,0.6548445497566109,1.8335647393185106,1.6013925807684395,0.1719276464053952,0.2857142857142857,0.35714285714285715
AutoARIMA,FOODS_1_021_TX_2,2016-02-28,28,1.1562932226832643,0.41218208749506374,1.648728349980255,0.3564684799747979,0.14343600646391413,1.0,0.25
AutoARIMA,FOODS_1_021_TX_2,2016-03-27,28,1.1291611185086552,0.16220141544205682,4.541639632377591,0.14364771579833097,0.09446404773853449,1.0,0.03571428571428571
AutoARIMA,FOODS_1_021_TX_2,2016-04-24,28,1.0898587933247754,0.2641548190448268,1.2327224888758583,0.24237526977140172,0.10932840949456432,0.9642857142857143,0.21428571428571427
AutoARIMA,FOODS_1_021_TX_2,2016-05-22,28,1.0656753407682775,0.3639674278469049,1.6985146632855563,0.341536877060991,0.1304072980175445,1.0,0.21428571428571427
AutoARIMA,FOODS_1_029_TX_2,2016-02-28,28,0.32918395573997233,0.4955968794198404,1.1563927186462941,1.5055316967249772,0.15905592335937704,0.9642857142857143,0.42857142857142855
AutoARIMA,FOODS_1_029_TX_2,2016-03-27,28,0.3422103861517976,0.5357142857142857,1.0,1.5654530294608116,0.14207424846310315,0.9642857142857143,0.5357142857142857
AutoARIMA,FOODS_1_029_TX_2,2016-04-24,28,0.35301668806161746,0.384132990801248,1.536531963204992,1.08814399939699,0.1287658685546503,0.9642857142857143,0.25
AutoARIMA,FOODS_1_029_TX_2,2016-05-22,28,0.3593556381660471,0.3136188136188136,1.7562653562653563,0.8727254572082158,0.09714670503619761,1.0,0.17857142857142858
AutoARIMA,FOODS_1_042_TX_1,2016-02-28,28,3.4661134163208853,4.64416447562857,0.7881006382884846,1.3398766623621134,1.4373142659982054,0.6428571428571429,5.892857142857143
AutoARIMA,FOODS_1_042_TX_1,2016-03-27,28,3.580559254327563,3.736588102209549,0.7021776299454187,1.0435766696762259,1.1064178890140304,0.75,5.321428571428571
