model,series_days,cost_at_critical_ratio,cost_at_median,cost_perfect_foresight,eur_per_series_day_at_cr,eur_per_series_day_at_median,distribution_value_per_series_day
NHITS,33600,40056.78553956976,39600.88108903831,0.0,1.1921662362967191,1.1785976514594736,-0.013568584837245545
Chronos-Bolt (zero-shot),33600,40159.94954402614,39918.92873423905,0.0,1.1952365935722065,1.188063355185686,-0.0071732383865203975
PatchTST,33600,40694.65651844533,40784.73605198344,0.0,1.2111504916203968,1.2138314301185547,0.00268093849815787
AutoETS,33600,43194.37252352602,41379.01767359807,0.0,1.2855468012954172,1.2315183831427998,-0.054028418152617386
AutoARIMA,33600,43895.760221864606,41981.91659350639,0.0,1.3064214351745418,1.2494618033781664,-0.05695963179637542
LightGBM,33600,47849.625474492976,46397.15616543886,0.0,1.424095996264672,1.3808677430190135,-0.04322825324565849
SeasonalNaive,33600,51160.20004735039,49505.37484931507,0.0,1.5226250014092377,1.4733742514677104,-0.04925074994152734
SeasonalNaive (library),33600,53152.338709497875,49505.37484931507,0.0,1.5819148425445797,1.4733742514677104,-0.10854059107686931
