model,unique_id,mase,floor_mase,beats_floor,improvement
SeasonalNaive (library),HOUSEHOLD_2_325_WI_3,0.6357313205812962,0.6357313205812962,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_347_WI_2,0.5684830980724234,0.5684830980724234,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_349_TX_2,1.2464763405259667,1.2464763405259667,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_361_CA_1,0.6431350442511765,0.6431350442511765,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_374_CA_4,0.5420233353971826,0.5420233353971826,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_391_TX_3,1.1306713479634372,1.1306713479634372,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_406_TX_3,1.0974530268989156,1.0974530268989156,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_414_WI_1,0.4881672355659999,0.4881672355659999,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_416_WI_2,1.4273051637088348,1.4273051637088348,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_417_CA_1,0.4631341931858523,0.4631341931858523,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_421_WI_1,0.753259157392115,0.753259157392115,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_425_CA_2,1.2535996302277201,1.2535996302277201,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_428_WI_2,2.0638947790110582,2.0638947790110582,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_433_WI_2,1.4329689588319936,1.4329689588319936,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_464_CA_2,0.9863451877822447,0.9863451877822447,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_466_WI_2,1.5571849980662815,1.5571849980662815,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_467_TX_1,1.0790627777740114,1.0790627777740114,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_471_WI_1,1.6543033439963977,1.6543033439963977,False,0.0
SeasonalNaive (library),HOUSEHOLD_2_472_TX_1,1.0104267113227998,1.0104267113227998,False,0.0
