model,series_folds,mase_defined_on,mase_dropped,mase_mean,mase_median,pct_beating_naive_floor,pinball_mean,coverage_mean,coverage_target,mae_mean,wape_mean,eur_per_series_day_at_cr,distribution_value_per_series_day,rung_seconds
Chronos-Bolt (zero-shot),1200,1200,0,1.0399846887097532,0.7896508719985991,95.0,0.3264543275550081,0.7970535714285715,0.8,0.9858467362431571,0.9645795136914668,1.1952365935722065,-0.0071732383865203975,36.9
AutoARIMA,1200,1200,0,1.2151880972401186,0.9420061148245142,77.0,0.34071197425792565,0.8615476190476189,0.8,1.0867542180579521,1.3862512303027539,1.3064214351745418,-0.05695963179637542,487.86
AutoETS,1200,1200,0,1.2163899683678194,0.930871168891079,77.66666666666666,0.33713365232958287,0.8567559523809524,0.8,1.069059903085821,1.3479876032820688,1.2855468012954172,-0.054028418152617386,487.86
SeasonalNaive,1200,1200,0,1.3834082486062125,1.072759538598048,,0.4168468253968254,0.855267857142857,0.8,1.274375,1.4639206512957295,1.5226250014092377,-0.04925074994152734,13.44
SeasonalNaive (library),1200,1200,0,1.3834082486062125,1.072759538598048,0.0,0.41491546004397595,0.9051488095238096,0.8,1.274375,1.4639206512957295,1.5819148425445797,-0.10854059107686931,487.86
LightGBM,1200,1200,0,2.3269416490631283,1.1900318244225758,50.66666666666667,0.40471338878802854,0.5755357142857143,0.8,1.215061455953379,2.5359740157219894,1.424095996264672,-0.04322825324565849,54.81
